"morphology","valid start year","valid end year","start year","end year","same primary"
"9591/3","2001",,"2010",,"9811/3"
"9591/3","2001",,"2010",,"9812/3"
"9591/3","2001",,"2010",,"9813/3"
"9591/3","2001",,"2010",,"9814/3"
"9591/3","2001",,"2010",,"9815/3"
"9591/3","2001",,"2010",,"9816/3"
"9591/3","2001",,"2010",,"9817/3"
"9591/3","2001",,"2010",,"9818/3"
"9591/3","2001",,"2021",,"9819/3"
"9591/3","2001",,"2001","2009","9820/3"
"9591/3","2001",,"2001",,"9823/3"
"9591/3","2001",,"2001","2009","9826/3"
"9591/3","2001",,"2001",,"9827/3"
"9591/3","2001",,"2001",,"9835/3"
"9591/3","2001",,"2001",,"9836/3"
"9591/3","2001",,"2001",,"9837/3"
"9591/3","2001",,"2001","2009","9948/3"
"9834/3","2001",,"2001",,"9590/3"
"9834/3","2001",,"2010",,"9800/3"
"9834/3","2001",,"2010",,"9801/3"
"9834/3","2001",,"2001","2009","9805/3"
"9834/3","2001",,"2001",,"9820/3"
"9834/3","2001",,"2001","2009","9827/3"
"9834/3","2001",,"2001","2009","9832/3"
"9835/3","1978","2009","2001",,"9590/3"
"9835/3","1978","2009","2001",,"9591/3"
"9835/3","1978","2009","2001","2009","9596/3"
"9835/3","1978","2009","2001","2009","9727/3"
"9835/3","1978","2009","2001",,"9728/3"
"9835/3","1978","2009","2001","2009","9729/3"
"9835/3","1978","2009","2001",,"9800/3"
"9835/3","1978","2009","2001",,"9801/3"
"9835/3","1978","2009","2001","2009","9805/3"
"9835/3","1978","2009","2010",,"9811/3"
"9835/3","1978","2009","2010",,"9812/3"
"9835/3","1978","2009","2010",,"9813/3"
"9835/3","1978","2009","2010",,"9814/3"
"9835/3","1978","2009","2010",,"9815/3"
"9835/3","1978","2009","2010",,"9816/3"
"9835/3","1978","2009","2010",,"9817/3"
"9835/3","1978","2009","2010",,"9818/3"
"9835/3","1978","2009","2021",,"9819/3"
"9835/3","1978","2009","2001",,"9820/3"
"9835/3","1978","2009","2001",,"9836/3"
"9835/3","1978","2009","2001","2009","9837/3"
"9590/3","2001",,"2001",,"9591/3"
"9590/3","2001",,"2001",,"9596/3"
"9590/3","2001",,"2010",,"9597/3"
"9590/3","2001",,"2001",,"9650/3"
"9590/3","2001",,"2001",,"9651/3"
"9590/3","2001",,"2001",,"9652/3"
"9590/3","2001",,"2001",,"9653/3"
"9590/3","2001",,"2001",,"9654/3"
"9590/3","2001",,"2001",,"9655/3"
"9590/3","2001",,"2001",,"9659/3"
"9590/3","2001",,"2001",,"9661/3"
"9590/3","2001",,"2001",,"9662/3"
"9590/3","2001",,"2001",,"9663/3"
"9590/3","2001",,"2001",,"9664/3"
"9590/3","2001",,"2001",,"9665/3"
"9590/3","2001",,"2001",,"9667/3"
"9590/3","2001",,"2001",,"9670/3"
"9590/3","2001",,"2001",,"9671/3"
"9590/3","2001",,"2001",,"9673/3"
"9590/3","2001",,"2001",,"9675/3"
"9590/3","2001",,"2001",,"9678/3"
"9590/3","2001",,"2001",,"9679/3"
"9590/3","2001",,"2001",,"9680/3"
"9590/3","2001",,"2001",,"9684/3"
"9590/3","2001",,"2001",,"9687/3"
"9590/3","2001",,"2010",,"9688/3"
"9590/3","2001",,"2001",,"9689/3"
"9590/3","2001",,"2001",,"9690/3"
"9590/3","2001",,"2001",,"9691/3"
"9590/3","2001",,"2001",,"9695/3"
"9590/3","2001",,"2001",,"9698/3"
"9590/3","2001",,"2001",,"9699/3"
"9590/3","2001",,"2001",,"9700/3"
"9590/3","2001",,"2001",,"9701/3"
"9590/3","2001",,"2001",,"9702/3"
"9590/3","2001",,"2001",,"9705/3"
"9590/3","2001",,"2001",,"9708/3"
"9590/3","2001",,"2001",,"9709/3"
"9590/3","2001",,"2010",,"9712/3"
"9590/3","2001",,"2001",,"9714/3"
"9590/3","2001",,"2021",,"9715/3"
"9590/3","2001",,"2001",,"9716/3"
"9590/3","2001",,"2001",,"9717/3"
"9590/3","2001",,"2001",,"9718/3"
"9590/3","2001",,"2001",,"9719/3"
"9590/3","2001",,"2010",,"9724/3"
"9590/3","2001",,"2010",,"9725/3"
