morphology,valid start year,valid end year,start year,end year,transform from
9910/3,2001,,2010,,9875/3
9910/3,2001,,2010,,9920/3
9910/3,2001,,2010,,9945/3
9910/3,2001,,2010,,9950/3
9910/3,2001,,2010,,9960/3
9910/3,2001,,2010,,9961/3
9910/3,2001,,2010,,9962/3
9910/3,2001,,2010,,9963/3
9910/3,2001,,2010,,9964/3
9910/3,2001,,2010,,9975/3
9910/3,2001,,2010,,9980/3
9910/3,2001,,2010,,9982/3
9910/3,2001,,2010,,9983/3
9910/3,2001,,2010,,9984/3
9910/3,2001,,2010,,9985/3
9910/3,2001,,2010,,9986/3
9910/3,2001,,2010,,9987/3
9910/3,2001,,2010,,9989/3
9910/3,2001,,2010,,9991/3
9910/3,2001,,2010,,9992/3
9910/3,2001,,2021,,9993/3
9861/3,2001,,2010,,9875/3
9861/3,2001,,2010,,9920/3
9861/3,2001,,2010,,9945/3
9861/3,2001,,2010,,9950/3
9861/3,2001,,2010,,9960/3
9861/3,2001,,2010,,9961/3
9861/3,2001,,2010,,9962/3
9861/3,2001,,2010,,9963/3
9861/3,2001,,2010,,9964/3
9861/3,2001,,2010,,9975/3
9861/3,2001,,2010,,9980/3
9861/3,2001,,2010,,9982/3
9861/3,2001,,2010,,9983/3
9861/3,2001,,2010,,9984/3
9861/3,2001,,2010,,9985/3
9861/3,2001,,2010,,9986/3
9861/3,2001,,2010,,9987/3
9861/3,2001,,2010,,9989/3
9861/3,2001,,2010,,9991/3
9861/3,2001,,2010,,9992/3
9861/3,2001,,2021,,9993/3
9714/3,2001,,2010,,9709/3
9869/3,2010,,2010,,9875/3
9869/3,2010,,2010,,9920/3
9869/3,2010,,2010,,9945/3
9869/3,2010,,2010,,9950/3
9869/3,2010,,2010,,9960/3
9869/3,2010,,2010,,9961/3
9869/3,2010,,2010,,9962/3
9869/3,2010,,2010,,9963/3
9869/3,2010,,2010,,9964/3
9869/3,2010,,2010,,9975/3
9869/3,2010,,2010,,9980/3
9869/3,2010,,2010,,9982/3
9869/3,2010,,2010,,9983/3
9869/3,2010,,2010,,9984/3
9869/3,2010,,2010,,9985/3
9869/3,2010,,2010,,9986/3
9869/3,2010,,2010,,9987/3
9869/3,2010,,2010,,9989/3
9869/3,2010,,2010,,9991/3
9869/3,2010,,2010,,9992/3
9869/3,2010,,2021,,9993/3
9878/3,2021,,2021,,9875/3
9878/3,2021,,2021,,9920/3
9878/3,2021,,2021,,9945/3
9878/3,2021,,2021,,9950/3
9878/3,2021,,2021,,9960/3
9878/3,2021,,2021,,9961/3
9878/3,2021,,2021,,9962/3
9878/3,2021,,2021,,9963/3
9878/3,2021,,2021,,9964/3
9878/3,2021,,2021,,9965/3
9878/3,2021,,2021,,9967/3
9878/3,2021,,2021,,9975/3
9878/3,2021,,2021,,9980/3
9878/3,2021,,2021,,9982/3
9878/3,2021,,2021,,9983/3
9878/3,2021,,2021,,9984/3
9878/3,2021,,2021,,9985/3
9878/3,2021,,2021,,9986/3
9878/3,2021,,2021,,9987/3
9878/3,2021,,2021,,9989/3
9878/3,2021,,2021,,9991/3
9878/3,2021,,2021,,9992/3
9878/3,2021,,2021,,9993/3
9865/3,2010,,2010,,9875/3
9865/3,2010,,2010,,9920/3
9865/3,2010,,2010,,9945/3
9865/3,2010,,2010,,9950/3
9865/3,2010,,2010,,9960/3
9865/3,2010,,2010,,9961/3
9865/3,2010,,2010,,9962/3
9865/3,2010,,2010,,9963/3
9865/3,2010,,2010,,9964/3
9865/3,2010,,2010,,9975/3
9865/3,2010,,2010,,9980/3
9865/3,2010,,2010,,9982/3
9865/3,2010,,2010,,9983/3
9865/3,2010,,2010,,9984/3
9865/3,2010,,2010,,9985/3
9865/3,2010,,2010,,9986/3
9865/3,2010,,2010,,9987/3
9865/3,2010,,2010,,9989/3
9865/3,2010,,2010,,9991/3
9865/3,2010,,2010,,9992/3
9865/3,2010,,2021,,9993/3
9911/3,2010,,2010,,9875/3
9911/3,2010,,2010,,9920/3
9911/3,2010,,2010,,9945/3
9911/3,2010,,2010,,9950/3
9911/3,2010,,2010,,9960/3
9911/3,2010,,2010,,9961/3
9911/3,2010,,2010,,9962/3
9911/3,2010,,2010,,9963/3
9911/3,2010,,2010,,9964/3
9911/3,2010,,2010,,9975/3
9911/3,2010,,2010,,9980/3
9911/3,2010,,2010,,9982/3
9911/3,2010,,2010,,9983/3
9911/3,2010,,2010,,9984/3
9911/3,2010,,2010,,9985/3
9911/3,2010,,2010,,9986/3
9911/3,2010,,2010,,9987/3
9911/3,2010,,2010,,9989/3
9911/3,2010,,2010,,9991/3
9911/3,2010,,2010,,9992/3
9911/3,2010,,2021,,9993/3
9897/3,2001,,2010,,9875/3
9897/3,2001,,2010,,9920/3
9897/3,2001,,2010,,9945/3
9897/3,2001,,2010,,9950/3
9897/3,2001,,2010,,9960/3
9897/3,2001,,2010,,9961/3
9897/3,2001,,2010,,9962/3
9897/3,2001,,2010,,9963/3
9897/3,2001,,2010,,9964/3
9897/3,2001,,2010,,9975/3
9897/3,2001,,2010,,9980/3
9897/3,2001,,2010,,9982/3
9897/3,2001,,2010,,9983/3
9897/3,2001,,2010,,9984/3
9897/3,2001,,2010,,9985/3
9897/3,2001,,2010,,9986/3
9897/3,2001,,2010,,9987/3
9897/3,2001,,2010,,9989/3
9897/3,2001,,2010,,9991/3
9897/3,2001,,2010,,9992/3
9897/3,2001,,2021,,9993/3
9732/3,2001,,2010,,9731/3
9732/3,2001,,2010,,9734/3
